GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
860Z200US15001,ZCTA5 15001,14293,442,4.5,1.4,2.7,1.2,8.6,1.8,7.8,1.7,9.9,1.6,18.8,2.7,13.8,1.8,18.4,2.4,6.9,1.6,8.6,1.5,71301,3700,90770,4144,37,(X),(X),(X),(X),(X),8795,460,4.2,1.9,0.4,0.3,3.6,2,6.3,2.4,6.9,1.8,18.2,3,16,2.8,21.6,3.1,9.8,2.4,13,2.3,90984,5752,110718,6220,(X),(X),38.7,(X),(X),(X),6499,459,1,1,0.3,0.4,2.4,1.7,3,1.3,4.3,1.4,17.6,3.6,17.4,3.1,24.6,4,12.6,3.1,16.7,3.2,106677,9252,N,N,(X),(X),(X),(X),(X),(X),5498,534,7.1,2.6,6.3,2.9,16.8,3.5,11.1,3.4,16,3.5,18.5,5.4,9,2.7,12,3.9,2,1.2,1.2,1,41509,4451,53110,4124,(X),(X),(X),(X),33.4,(X)
860Z200US15003,ZCTA5 15003,5220,270,4.1,1.9,5.5,2.2,8.6,2.6,8.6,2.5,15,4.2,21.8,3.6,10.4,2.8,15.7,3.2,5.7,2.5,4.5,2.2,57943,5748,73927,5754,39.6,(X),(X),(X),(X),(X),2735,226,2.6,1.9,2.5,2.5,2.9,1.6,5.4,3.5,10.2,5,20.6,5.4,14.3,4.5,24.4,5.5,8.9,4.6,8.2,3.9,82737,11473,97601,9458,(X),(X),42.6,(X),(X),(X),1935,232,0,1.5,3.2,3.5,0.4,0.4,1,1,10,6.4,17.5,6,14.2,5.1,32.1,7.3,10,6.1,11.6,5.2,104931,9758,N,N,(X),(X),(X),(X),(X),(X),2485,317,7.1,3.8,8.8,4,15.1,5.3,12,3.9,20.4,5.9,23.1,5.6,6.9,2.9,4.8,2.6,1.3,1.6,0.4,0.6,40381,5740,45578,4089,(X),(X),(X),(X),34.8,(X)
860Z200US15004,ZCTA5 15004,149,84,0,18.1,0,18.1,0,18.1,26.2,27.4,16.1,23.3,25.5,27,10.7,17.8,5.4,9.7,16.1,16.3,0,18.1,58257,24979,74495,25198,18.8,(X),(X),(X),(X),(X),40,37,0,45.1,0,45.1,0,45.1,40,47.7,0,45.1,0,45.1,0,45.1,0,45.1,60,47.7,0,45.1,-,**,119550,72163,(X),(X),0,(X),(X),(X),24,25,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,100,58.2,0,58.2,174231,24240,N,N,(X),(X),(X),(X),(X),(X),109,77,0,23.7,0,23.7,0,23.7,35.8,35,22,32.5,34.9,36.6,0,23.7,7.3,13.6,0,23.7,0,23.7,44115,25962,48936,14169,(X),(X),(X),(X),25.7,(X)
860Z200US15005,ZCTA5 15005,4127,283,2.3,0.9,0.9,0.8,3.6,1.6,2.2,1.7,15,3.8,25.3,4.4,9.6,2.5,19.9,4,6.6,2.3,14.5,3,77356,9609,122634,11933,30.1,(X),(X),(X),(X),(X),2610,242,1.7,1.2,0.9,1.1,1.3,1.1,1.5,1.3,8.8,4.1,19.6,6.4,10.9,3.4,23.8,5.7,9,3.3,22.5,4.6,106207,11156,156709,17554,(X),(X),33.5,(X),(X),(X),2283,242,0.4,0.6,0.4,0.5,0.8,0.9,1.8,1.5,7.4,3.9,18.8,6.9,10.2,3.6,25.1,6.4,10.3,3.9,24.8,5.2,118125,16265,N,N,(X),(X),(X),(X),(X),(X),1517,222,4.8,2.3,1,1.1,7.5,3.7,3.4,3.7,27,8.1,32.4,7.9,10.3,4.8,11.3,5.2,1.3,1.4,0.9,1.2,55120,6008,61841,5463,(X),(X),(X),(X),24.3,(X)
860Z200US15006,ZCTA5 15006,19,28,0,65.4,0,65.4,0,65.4,0,65.4,0,65.4,0,65.4,84.2,77.9,0,65.4,0,65.4,15.8,77.9,-,**,N,N,84.2,(X),(X),(X),(X),(X),16,26,0,71.2,0,71.2,100,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,-,**,N,N,(X),(X),100,(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,N,N,(X),(X),(X),(X),(X),(X),3,13,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,100,-,**,N,N,(X),(X),(X),(X),0,(X)
860Z200US15007,ZCTA5 15007,108,62,0,23.9,19.4,28.2,9.3,18,13,20.7,0,23.9,29.6,29.6,0,23.9,0,23.9,0,23.9,28.7,33.2,-,**,102156,71885,29.6,(X),(X),(X),(X),(X),55,49,0,38.4,38.2,49.3,0,38.4,0,38.4,0,38.4,25.5,42,0,38.4,0,38.4,0,38.4,36.4,50.7,-,**,105260,103693,(X),(X),38.2,(X),(X),(X),34,38,0,48.9,0,48.9,0,48.9,0,48.9,0,48.9,41.2,58.8,0,48.9,0,48.9,0,48.9,58.8,58.8,-,**,N,N,(X),(X),(X),(X),(X),(X),53,43,0,39.1,0,39.1,18.9,33.6,26.4,38.6,0,39.1,34,44.4,0,39.1,0,39.1,0,39.1,20.8,33,65347,63486,98936,86651,(X),(X),(X),(X),20.8,(X)
860Z200US15009,ZCTA5 15009,6739,268,4.5,1.5,2.8,1.2,5.7,1.4,6.2,1.4,9.7,2.1,15.9,2.5,12.4,2.2,18.7,2.9,13.1,2.9,10.9,2,83629,5967,106775,5387,32,(X),(X),(X),(X),(X),4296,216,2,1.6,0.6,0.5,2.7,1.4,2.5,1.3,6.6,2.7,13.5,2.6,13.9,3.4,24.3,4,18.2,4.4,15.7,3,119792,10720,133376,6899,(X),(X),34.1,(X),(X),(X),3620,206,1.3,1.3,0.1,0.1,1.7,1.4,1.5,0.7,6.2,3,12.5,2.8,13.2,3.6,25.3,4.1,20.3,5,17.9,3.6,131342,3858,N,N,(X),(X),(X),(X),(X),(X),2443,244,8.7,3.2,6.9,3.3,11.5,2.8,14.1,3.6,14.5,3.3,20.1,4.3,9.3,2.9,8.3,3.4,4.2,2.3,2.4,1.4,43240,5206,58761,6847,(X),(X),(X),(X),27.9,(X)
860Z200US15010,ZCTA5 15010,11476,426,5.9,1.6,3.4,1,9.1,2,7,1.6,10,1.7,17.6,2.3,13.4,2.3,19.2,2.8,8.2,1.9,6,1.6,70253,3515,86332,3457,38.6,(X),(X),(X),(X),(X),7091,332,4.6,2.5,1.1,0.6,3.3,1.7,3.6,1.4,8.2,2.1,16.5,2.8,15.2,3.2,27.6,4,11.4,2.8,8.5,2.2,96178,4071,107180,5029,(X),(X),38.7,(X),(X),(X),5259,319,0.6,0.6,0.8,0.7,1.7,0.9,3.1,1.5,5.7,2.2,14.8,2.8,14.5,3,33.5,4.9,14.5,3.7,11,2.8,112652,3346,N,N,(X),(X),(X),(X),(X),(X),4385,448,8.3,2.4,7.3,2.3,18.5,4,12.9,3.8,14.1,3.4,20,4,9.9,2.9,4.8,2.4,2.2,1.4,1.9,1.7,37139,6372,49641,4090,(X),(X),(X),(X),37.4,(X)
860Z200US15012,ZCTA5 15012,6894,373,6.3,2.4,8.1,3.7,6.6,2.2,8.9,2.9,12.1,2.4,15.5,2.9,11.3,3,14,2.9,8.5,1.8,8.8,2.6,61903,5541,86664,6538,35.7,(X),(X),(X),(X),(X),4227,221,3.1,2,5.8,4.1,2.8,2.5,6.5,3.3,10.6,3.1,15.8,4,10.2,2.8,18.4,4.1,13.4,2.9,13.4,3.8,86659,10244,110409,9276,(X),(X),38.8,(X),(X),(X),3053,288,0.4,0.6,4.5,4.3,0.4,0.4,3.2,2.1,10.5,3.4,14.1,4.2,9.7,3.3,22.1,5.1,17.2,3.7,18,4.8,112417,14940,N,N,(X),(X),(X),(X),(X),(X),2667,371,12.3,5.3,11.8,6.8,12.6,4.2,11.9,4.6,14.6,4.6,14.8,4.1,13.8,6.5,6.1,2.9,0.7,1.1,1.5,1.4,36411,7951,47513,6703,(X),(X),(X),(X),30.8,(X)
860Z200US15014,ZCTA5 15014,1562,155,4.8,3.8,7.4,5.4,7.6,5.6,6.7,4.3,20.5,10.9,19.7,7.8,17.2,7.2,12.7,6.8,2.7,2.3,0.7,1.2,52734,7970,60438,6946,28.8,(X),(X),(X),(X),(X),853,153,3.4,5.1,0,3.5,3.6,4.5,3,3.5,17.1,19.4,29.4,13.5,21.6,10.8,15.6,11.2,4.9,4.6,1.3,2.3,66055,21950,72425,11993,(X),(X),34,(X),(X),(X),392,124,0,7.4,0,7.4,0,7.4,0,7.4,3.1,4.8,18.6,12.1,36,18.3,31.6,19.8,10.7,8.9,0,7.4,96184,7494,N,N,(X),(X),(X),(X),(X),(X),709,247,6.5,5.5,16.4,11.1,14.1,11.5,11.1,8.8,24.5,14.6,11.4,7.4,14.2,9.9,1.7,2.9,0,4.1,0,4.1,36023,11124,39644,7325,(X),(X),(X),(X),22.6,(X)
860Z200US15015,ZCTA5 15015,508,99,1.2,1.5,0,5.7,0.8,1,2.8,2.3,5.9,4.2,4.9,2.8,19.1,12.3,11.6,4.7,20.7,9.1,33.1,8.9,160556,28711,177786,20143,32.1,(X),(X),(X),(X),(X),401,97,1.5,1.9,0,7.2,1,1.3,2,2.1,1.5,1.5,1.2,1.4,20.7,15.2,12.5,5.4,22.2,10.7,37.4,11.6,175313,23549,191336,26578,(X),(X),33.7,(X),(X),(X),364,99,1.6,2.1,0,7.9,1.1,1.5,2.2,2.4,1.6,1.7,1.4,1.6,21.2,16.9,9.1,5.5,20.6,12.5,41.2,13.7,178393,32020,N,N,(X),(X),(X),(X),(X),(X),107,28,0,24.1,0,24.1,0,24.1,5.6,5.3,22.4,16.3,18.7,9.9,13.1,6.1,8.4,8,15,9.4,16.8,12,78750,27778,127005,36446,(X),(X),(X),(X),26.2,(X)
860Z200US15017,ZCTA5 15017,7922,431,3.2,1.7,3.1,1.4,5,1.7,6.7,1.9,10,2.7,15,3.6,14.9,3.2,16.9,3.4,12.9,3.8,12.2,2.5,83611,7262,116959,8344,31.4,(X),(X),(X),(X),(X),4531,369,1.3,1.1,1.8,1.8,1.8,1.1,1.5,1.1,6.1,3.2,13.3,4.8,15.1,4.3,22.8,4.6,19.9,6,16.4,3.9,117278,12922,147156,12212,(X),(X),33.1,(X),(X),(X),3544,375,0.3,0.5,0.5,0.6,1.1,1,0.7,0.9,4.7,3.1,8.1,3.5,17.8,5.4,25,5.7,22.3,7,19.5,4.8,133050,13628,N,N,(X),(X),(X),(X),(X),(X),3391,378,6.1,3.7,4.9,2.4,9.7,3.7,12.9,4,15.1,3.9,18.1,4.2,15.3,4.3,7.6,3.6,4.3,2.3,5.8,3.5,51003,4756,74618,12507,(X),(X),(X),(X),28.3,(X)
860Z200US15018,ZCTA5 15018,344,168,2,3.1,1.7,3.4,0,8.3,42.2,25.4,22.4,18.2,5.5,7.6,1.2,2.3,14.5,11.3,7.6,9.7,2.9,5.5,36750,18859,65562,21518,36.9,(X),(X),(X),(X),(X),150,86,6.7,12.7,0,18,0,18,0,18,38,28.6,0,18,2.7,5.3,28.7,23,17.3,19.8,6.7,12.3,110625,107793,103241,35013,(X),(X),42.7,(X),(X),(X),123,78,0,21.4,0,21.4,0,21.4,0,21.4,46.3,32.2,0,21.4,3.3,6.3,21.1,24.1,21.1,23.9,8.1,15.1,-,**,N,N,(X),(X),(X),(X),(X),(X),194,135,3.6,6.2,3.1,6.7,0,14.3,74.7,24.6,10.3,17.1,4.6,8.8,0,14.3,3.6,6.2,0,14.3,0,14.3,28588,925,32671,6308,(X),(X),(X),(X),32.5,(X)
860Z200US15019,ZCTA5 15019,572,157,8.9,7.1,2.3,2.9,19.8,16.8,17.1,11.8,7.5,7,12.8,7.7,10.3,5.3,10.8,5.8,8.4,5.8,2.1,1.8,38092,20644,63664,13766,31.5,(X),(X),(X),(X),(X),344,90,12.8,10.6,0,8.3,4.7,5.6,9,10.3,8.4,10.7,18.6,11.1,14.5,8.2,16,8.9,14,9.1,2,2.1,69271,24130,80676,15552,(X),(X),43.6,(X),(X),(X),277,80,2.9,4.8,0,10.3,3.2,5.2,11.2,12.1,10.1,13.1,18.1,10.9,15.9,10.1,18.8,10,17.3,11.8,2.5,2.6,85875,20677,N,N,(X),(X),(X),(X),(X),(X),228,130,3.1,5.9,5.7,8.7,42.5,34.6,29.4,25.3,6.1,6.1,3.9,4.3,3.9,4.4,3.1,4.4,0,12.3,2.2,3.2,22059,15903,37996,14117,(X),(X),(X),(X),13.2,(X)
860Z200US15020,ZCTA5 15020,221,196,0,12.7,0,12.7,0,12.7,0,12.7,9,16.6,73.3,39.4,10,17.1,0,12.7,0,12.7,7.7,16.2,73723,835,85848,31569,71,(X),(X),(X),(X),(X),188,196,0,14.7,0,14.7,0,14.7,0,14.7,10.6,22.7,74.5,48.3,5.9,15.3,0,14.7,0,14.7,9,21.7,73821,683,88946,42005,(X),(X),83.5,(X),(X),(X),188,196,0,14.7,0,14.7,0,14.7,0,14.7,10.6,22.7,74.5,48.3,5.9,15.3,0,14.7,0,14.7,9,21.7,73821,683,N,N,(X),(X),(X),(X),(X),(X),33,32,0,49.6,0,49.6,0,49.6,0,49.6,0,49.6,66.7,45.8,33.3,45.8,0,49.6,0,49.6,0,49.6,63854,25530,68200,13414,(X),(X),(X),(X),0,(X)
860Z200US15021,ZCTA5 15021,2830,218,3.3,1.7,3.3,1.7,9.4,3.4,5.1,1.8,15.8,4.1,14.5,3,14.9,3.1,15.9,3.5,10.8,2.4,7.1,2,72849,8756,93379,7399,41.7,(X),(X),(X),(X),(X),1865,185,1.3,0.9,1.7,1.5,7.5,3.8,1.3,0.9,11.5,3.8,12.8,3.5,17.1,3.8,23.3,4.9,14.5,3.6,9.1,2.8,93472,10222,112784,9582,(X),(X),41.3,(X),(X),(X),1358,161,0.4,0.4,0.2,0.3,2.6,1.7,1.1,1,7.1,2.9,13,3.9,17.2,4,29,5.6,18,4.2,11.3,3.6,119167,16110,N,N,(X),(X),(X),(X),(X),(X),965,156,8,4.4,6.4,4,13.2,6,12.3,5.1,26.6,9.3,15,4.8,10.9,6.4,3.1,2.1,2.7,1.9,1.8,1.8,39070,2538,51276,8200,(X),(X),(X),(X),42.5,(X)
860Z200US15022,ZCTA5 15022,4081,300,5.6,2.1,7.1,3.1,7.4,2.2,9,2.8,14.2,3.1,17.7,3.1,10.4,2.6,14.7,2.9,7.1,2.5,6.8,2.7,61337,9229,82346,7919,39,(X),(X),(X),(X),(X),2500,172,1,0.8,3,2.1,5.1,2.5,7.1,2.8,11.4,3.5,22.3,5,13.6,3.9,22.5,5,8.1,2.9,6,2.3,75244,7932,93824,7234,(X),(X),41.6,(X),(X),(X),1754,185,0.8,0.8,0.6,1,2.5,2.1,2.3,1.6,11.3,4.3,21.4,5.4,15.3,5.1,27,6.2,10.4,3.9,8.5,3.3,91915,9186,N,N,(X),(X),(X),(X),(X),(X),1581,254,12.8,4.8,13.7,6.9,12.6,4.2,15,5.6,19.4,6.2,11.1,4.6,4.7,2.4,3.1,1.7,2.2,2.2,5.5,3.3,31345,6033,53783,11004,(X),(X),(X),(X),34.9,(X)
860Z200US15024,ZCTA5 15024,3751,285,5.4,4.7,2.5,1.5,4,2,3.8,1.2,9.7,2.8,19.5,4.4,9.2,2.8,21.4,4.3,11.8,3.4,12.8,4,85625,15435,108262,10098,31.5,(X),(X),(X),(X),(X),2424,220,0.6,0.8,1.6,1.8,1.3,1,1.3,0.9,7.1,2.9,18.5,4,9.4,2.9,30.2,5.8,15,4.7,15.1,4.8,119688,7297,129936,10927,(X),(X),34.7,(X),(X),(X),2054,219,0,1.4,0,1.4,0.7,0.8,1.4,1,6.2,3,16.2,4.3,9.2,3.3,33,6.4,16.4,5.6,16.9,5.8,125240,8136,N,N,(X),(X),(X),(X),(X),(X),1327,260,14.2,12.4,4.2,2.7,8.9,5,8.6,3.5,14.4,5.6,23.7,10,7.3,5.2,7.1,4.3,3.7,2.5,8,5,49841,12269,66017,13595,(X),(X),(X),(X),25.5,(X)
860Z200US15025,ZCTA5 15025,6701,322,5.1,2.6,3.7,1.7,7.4,2.1,5.2,1.6,11.1,2.2,14.3,2.2,9.8,2.9,17.2,3.2,6.6,2.6,19.6,3.8,82917,8732,120800,10722,32.1,(X),(X),(X),(X),(X),4561,290,4.6,2.5,2.7,2.1,2.9,1.6,4.3,2.1,7.8,2.5,9.8,2.3,9.9,3.1,23,4.5,7.6,3.2,27.4,5.2,116152,5593,150144,15469,(X),(X),31.9,(X),(X),(X),3512,309,1.5,1.7,3.1,2.7,1.7,1.6,3.7,2.1,3.6,1.9,8.7,2.9,8.5,3.4,25.6,5.8,8.9,3.8,34.7,6.5,133385,13152,N,N,(X),(X),(X),(X),(X),(X),2140,258,9.4,6.3,6,2.8,15.8,5.3,7.8,3.5,16.3,4.9,23.2,5.6,9.7,5,7.3,3.5,2.8,1.9,1.8,2,43028,7498,54745,8923,(X),(X),(X),(X),32.5,(X)
860Z200US15026,ZCTA5 15026,1737,273,3.6,2.1,4.4,5.1,6.6,4.1,4.3,3,2.8,2,10.7,4.7,17.9,8.9,15.8,5.1,26.9,7.4,7,3.8,99897,12997,121098,15085,36.6,(X),(X),(X),(X),(X),1186,216,3.4,2.9,0.5,0.8,3.5,4.2,2.8,2.5,1.9,2,10.8,5.3,15.6,7,17,6.2,35.9,8.2,8.7,5.6,123333,37112,130251,14960,(X),(X),36.8,(X),(X),(X),1048,204,3.8,3.3,0,2.8,3.3,4.8,3.1,2.8,2.1,2.3,8.3,4.3,13,7,15.8,6.3,40.6,8.7,9.8,6.3,151389,32152,N,N,(X),(X),(X),(X),(X),(X),551,216,4,5.2,12.9,15.5,13.2,10.3,7.6,7.2,4.9,4.4,15.1,11.6,23.8,24.2,13.2,11.4,1.8,2.7,3.4,3.7,69375,38032,94287,33737,(X),(X),(X),(X),36.3,(X)
